"airport","airport_name","countryCode","date","datetime","raw_metar","visibility","wind","precipitation","freezing","dangerous","VMC_IMC","latitude","longitude"
"SVMC","MARACAIBO, ZULIA","VEN","20-01-19","""2020-01-19T21:02:00.000Z""","SVMC 192102Z AUTO NIL 20-01-19",0,0,0,0,0,0,10.558333333333334,-71.7286111111111
"SVPA","PUERTO AYACUCHO, AMAZONAS","VEN","20-01-19","""2020-01-19T21:02:00.000Z""","SVPA 192102Z AUTO 09005KT NCD 35/20 Q1008 20-01-19",0,0,0,0,0,0,5.62,-67.6061111111111
"SVSR","SAN FERNANDO DE APURE,APURE","VEN","20-01-19","""2020-01-19T21:02:00.000Z""","SVSR 192102Z AUTO NIL 20-01-19",0,0,0,0,0,0,7.883055555555556,-67.44361111111111
"KVJI","VIRGINIA HIGHLANDS","USA","20-01-20","""2020-01-20T08:15:00.000Z""","KVJI 200815Z AUTO 36004KT 10SM -SN OVC022 M07/M13 A3025 RMK AO2 T10671126 20-01-20",0,0,6.7,7.5,0,0,36.687099999999994,-82.033325
"FVKB","KARIBA","ZWE","20-01-20","""2020-01-20T09:00:00.000Z""","FVKB 200900Z 00000KT CAVOK 31/24 Q1010 20-01-20",0,0,0,0,0,0,-16.519444444444442,28.884999999999998
"OITK","KHOY","IRN","20-01-20","""2020-01-20T11:00:00.000Z""","OITK 201100Z 00000KT 4000 HZ FEW035 OVC100 01/M03 Q1022 20-01-20",0,0,0,0,0,0,38.42222222222222,44.97666666666667
"SAAV","SANTA FE/SAUCE VIEJO (SF)","ARG","20-01-20","""2020-01-20T11:15:00.000Z""","SAAV 201115Z 14005KT 5000 TSRA BR BKN020 FEW050CB OVC060 25/25 Q1009 20-01-20",0,0,3.3,0,8,0,-31.710841666666667,-60.81126666666666
"LTAD","ANKARA/ETIMESGUT (MIL)","TUR","20-01-20","""2020-01-20T12:01:00.000Z""","LTAD 201201Z 33004KT 220V020 9999 BKN035 BKN090 03/M02 Q1027 RESN NOSIG RMK RWY29 VRB03KT 20-01-20",0,0,0,0,0,0,39.95166666666667,32.6875
"SVSZ","SANTA BARBARA DEL ZULIA,  ZULIA","VEN","20-01-20","""2020-01-20T14:00:00.000Z""","SVSZ 201400Z 20-01-20",0,0,0,0,0,0,8.974166666666667,-71.94305555555556
"SAAG","GUALEGUAYCHU (ER)","ARG","20-01-20","""2020-01-20T17:22:00.000Z""","SAAG 201722Z 05008KT 6000 RA BKN010 OVC045 26/24 Q1010 20-01-20",0,0,3.3,0,0,0,-33.00555555555555,-58.61277777777778
